"","doc.text"
"28","2.8.1 Former mayors"
"29","3 See also"
"30","4 References"
"31","Democratic Party[2]"
"32","Citizens Party[3]"
"33","Communist Party[4]"
"34","Freedom Socialist Party[5]"
"35","Green Party[6]"
"36","Justice Party[7]"
"37","Libertarian Party[8]"
"38","Objectivist Party[9]"
"39","Party for Socialism and Liberation[10]"
"40","Peace and Freedom Party[11]"
"41","Socialist Alternative[12]"
"42","Socialist Party[13]"
"43","Workers World Party[14]"
"44","Lavender Greens[15]"
"45","Outright Libertarians[16]"
"46","Log Cabin Republicans[17]"
"47","National Stonewall Democrats[18]"
"48","Young Democrats of America[19]"
"49","Alaska Democratic Party[20]"
"50","California Democratic Party[21]"
"51","Colorado Democratic Party[22]"
"52","Connecticut Democratic Party[23]"
"53","Hawaii Democratic Party[24]"
"54","Iowa Democratic Party[25]"
"55","Louisiana Democratic Party[26]"
"56","Maine Democratic Party[27]"
"57","Maryland Democratic Party[26]"
"58","Massachusetts Democratic Party[28]"
"59","Michigan Democratic Party[29]"
"60","Minnesota Democratic–Farmer–Labor Party[30]"
"61","Montana Democratic Party[31]"
"62","Nebraska Democratic Party[32]"
"63","Nevada Democratic Party[33]"
"64","New Hampshire Democratic Party[34]"
"65","New Mexico Democratic Party[35]"
"66","New York State Democratic Committee[36]"
"67","North Carolina Democratic Party[37]"
"68","Ohio Democratic Party[38]"
"69","Oregon Democratic Party[39]"
"70","Pennsylvania Democratic Party[40]"
"71","Texas Democratic Party[41]"
"72","Vermont Democratic Party[42]"
"73","Washington State Democratic Party[43]"
"74","Wisconsin Democratic Party[44]"
"75","Wyoming Democratic Party[45]"
"76","District of Columbia Democratic State Committee[46]"
"77","District of Columbia Republican Party[47]"
"78","Marin County, California Republican Party[48]"
"79","California Peace and Freedom Party[49]"
"80","Independence Party of Minnesota[50]"
"81","New York Working Families Party[51]"
"82","Oregon Progressive Party[52]"
"83","Vermont Progressive Party[53]"
"84","Puerto Rico Movimiento Unión Soberanista[54]"
"85","Puerto Ricans for Puerto Rico Party[55]"
"86","Puerto Rico Working People's Party[56]"
"87","Arkansas State University Democrats"
"88","Brandeis University Democrats[57]"
"89","Brown University Democrats[57]"
"90","Case Western Reserve University Democrats[57]"
"91","Claremont Colleges Democrats[57]"
"92","College Democrats of North Carolina[58]"
"93","College of William and Mary Democrats[57]"
"94","Columbia University Democrats[57]"
"95","Cornell University Democrats[57]"
"96","Dartmouth College Democrats[57]"
"97","Georgetown University Democrats[57]"
"98","George Washington University Democrats"
"99","Georgia Institute of Technology Democrats[57]"
"100","Harvard University Democrats[57]"
"101","Indiana University Democrats[57]"
"102","Johns Hopkins University Democrats[57]"
"103","Lehigh University Democrats[57]"
"104","Middlebury College Democrats[57]"
"105","Mount Holyoke College Democrats[57]"
"106","New York University Democrats[57]"
"107","Northwestern University Democrats[57]"
"108","Pacific Union College Democrats[57]"
"109","Penn State University Democrats[57]"
"110","University of Pennsylvania Democrats[57]"
"111","Princeton University Democrats[57]"
"112","Stanford University Democrats[57]"
"113","The College of New Jersey Democrats[59]"
"114","The University of Mississippi College Democrats"
"115","Towson University College Democrats[60]"
"116","Tufts University Democrats[57]"
"117","University of California, Irvine Democrats[57]"
"118","University of California, Los Angeles Democrats[57]"
"119","University of California, San Diego Democrats[61]"
"120","University of Chicago Democrats[57]"
"121","University of Illinois Democrats[57]"
"122","University of Miami Democrats[57]"
"123","University of Michigan Democrats[57]"
"124","University of Oklahoma Democrats[57]"
"125","University of Rochester Democrats[57]"
"126","University of Southern California for Obama[57]"
"127","University of Texas at Austin Democrats[57]"
"128","Vanderbilt University Democrats[57]"
"129","University of Virginia Democrats[57]"
"130","Wake Forest University Democrats[57]"
"131","University of Washington Democrats[57]"
"132","Wellesley College Democrats[57]"
"133","Williams College Democrats[57]"
"134","Yale University Democrats[57]"
"135","Boston University Republicans[57]"
"136","Columbia University Republicans[57]"
"137","Cornell University Republicans[57]"
"138","Indiana University Republicans[57]"
"139","John Jay College Republicans"
"140","Tufts University Republicans[57]"
"141","University of Chicago Republicans[57]"
"142","Macalester College Republicans[62]"
"143","Oregon State University College Republicans[63]"
"144","University of Miami Republicans[57]"
"145","University of Pennsylvania Republicans[57]"
"146","University of Rochester Republicans[57]"
"147","University of Southern California Republicans[57]"
"148","University of Washington Republicans[57]"
"149","Yeshiva University Republicans[57]"
"150","Tampa Bay Young Republicans[64]"
"151","Barack Obama[65] (D) (2009–present)"
"152","Jimmy Carter[66] (D) (1977–1981)"
"153","Bill Clinton[67] (D) (1993–2001)"
"154","Joe Biden[65] (D) (2009–present)"
"155","Dick Cheney[68] (R) (2001–2009)"
"156","Al Gore[69] (D) (1993–2001)"
"157","Walter Mondale[70] (D) (1977–1981)"
"158","Majority Leader Harry Reid[71] (D–Nevada, 1987–present)"
"159","Majority Whip Dick Durbin[72] (D–Illinois, 1997–present)"
"160","President pro tempore Patrick Leahy[73] (D–Vermont, 1975–present)"
"161","Tammy Baldwin[74] (D–Wisconsin, 2013–present)"
"162","Mark Begich[75] (D–Alaska, 2009–present)"
"163","Michael Bennet[74] (D–Colorado, 2009–present)"
"164","Richard Blumenthal[74] (D–Connecticut, 2011–present)"
"165","Cory Booker[76] (D–New Jersey) (2013–present)"
"166","Barbara Boxer[74] (D–California, 1993–present)"
"167","Sherrod Brown[74] (D–Ohio, 2007–present)"
"168","Maria Cantwell[77] (D–Washington, 2001–present)"
"169","Ben Cardin[74] (D–Maryland, 2007–present)"
"170","Tom Carper[78] (D–Delaware, 2001–present)"
"171","Bob Casey, Jr.[79] (D–Pennsylvania, 2007–present)"
"172","Susan Collins[80] (R–Maine, 1997–present)"
"173","Chris Coons[74] (D–Delaware, 2011–present)"
"174","Joe Donnelly[81] (D–Indiana, 2013–present)"
"175","Dianne Feinstein[74] (D–California, 1992–present)"
"176","Al Franken[74] (D–Minnesota, 2009–present)"
"177","Kirsten Gillibrand[74] (D–New York, 2009–present)"
"178","Kay Hagan[82] (D–North Carolina, 2009–present)"
"179","Tom Harkin[74] (D–Iowa, 1985–present)"
"180","Martin Heinrich[74] (D–New Mexico, 2013–present)"
"181","Heidi Heitkamp[83] (D–North Dakota, 2013–present)"
"182","Mazie Hirono[84] (D–Hawaii, 2013–present)"
"183","Tim Johnson[85] (D–South Dakota, 1997–present)"
"184","Tim Kaine[86] (D–Virginia, 2013–present)"
"185","Angus King[87] (I–Maine, 2013–present)"
"186","Mark Kirk[88] (R–Illinois, 2010–present)"
"187","Amy Klobuchar[89] (D–Minnesota, 2007–present)"
"188","Mary Landrieu1[90] (D–Louisiana, 1997–present)"
"189","Carl Levin[74] (D–Michigan, 1979–present)"
"190","Ed Markey[91] (D–Massachusetts, 2013–present)"
"191","Claire McCaskill[92] (D–Missouri, 2007–present)"
"192","Bob Menendez[74] (D–New Jersey, 2006–present)"
"193","Jeff Merkley[74] (D–Oregon, 2009–present)"
"194","Barbara Mikulski[74] (D–Maryland, 1987–present)"
"195","Lisa Murkowski[93] (R–Alaska, 2002–present)"
"196","Chris Murphy[94] (D–Connecticut, 2013–present)"
"197","Patty Murray[74] (D–Washington, 1993–present)"
"198","Bill Nelson[95] (D–Florida, 2001–present)"
"199","Rob Portman[96] (R–Ohio, 2011–present)"
"200","Jack Reed[97] (D–Rhode Island, 1997–present)"
"201","Jay Rockefeller[98] (D–West Virginia, 1985–present)"
"202","Bernie Sanders[99] (I–Vermont, 2007–present)"
"203","Brian Schatz[100] (D–Hawaii, 2012–present)"
"204","Chuck Schumer[74] (D–New York, 1999–present)"
"205","Jeanne Shaheen[74] (D–New Hampshire, 2009–present)"
"206","Debbie Stabenow[75] (D–Michigan, 2001–present)"
"207","Jon Tester[86][101] (D–Montana, 2007–present)"
"208","Mark Udall[74] (D–Colorado, 2009–present)"
"209","Tom Udall[102] (D–New Mexico, 2009–present)"
"210","John Walsh[103] (D-Montana, 2014–present)"
"211","Mark Warner[104] (D–Virginia, 2009–present)"
"212","Elizabeth Warren[74] (D–Massachusetts, 2013–present)"
"213","Sheldon Whitehouse[74] (D–Rhode Island, 2007–present)"
"214","Ron Wyden[74] (D–Oregon, 1996–present)"
"215","1Mary Landrieu personally supports same-sex marriage, but also supports retaining the constitutional amendment in the Louisiana Constitution banning same-sex marriage because the people of Louisiana voted on it."
"216","Daniel Akaka[106] (D–Hawaii, 1990–2013)"
"217","Max Baucus[31] (D–Montana, 1978–2014)"
"218","Dean Barkley[107] (IP–Minnesota, 2002–2003)"
"219","Joe Biden[65] (D–Delaware, 1973–2009)"
"220","Jeff Bingaman (D-New Mexico) (1983–2013)"
"221","Carol Moseley Braun[108] (D–Illinois, 1993–1999)"
"222","Lincoln Chafee[109] (R–Rhode Island, 1999–2007)"
"223","Hillary Clinton[110] (D–New York, 2001–2009)"
"224","Jon Corzine[111] (D–New Jersey, 2001–2006)"
"225","Mo Cowan[112] (D–Massachusetts, 2013)"
"226","Mark Dayton[113] (D–Minnesota, 2001–2007)"
"227","Chris Dodd[114] (D–Connecticut, 1981–2011)"
"228","Dan Evans[115] (R–Washington, 1983–1989)"
"229","Russ Feingold[74] (D–Wisconsin, 1993–2011)"
"230","Al Gore[69] (D–Tennessee, 1985–1993)"
"231","Mike Gravel[116] (D–Alaska, 1969–1981)"
"232","Former President pro tempore Daniel Inouye[106] (D-Hawaii, 1963–2012)"
"233","Jim Jeffords (R/I-Vermont, 1989–2007)"
"234","Bennett Johnston, Jr.[117] (D–Louisiana, 1972–1997)"
"235","Nancy Kassebaum[118] (R–Kansas, 1978–1997)"
"236","Former Majority Whip Ted Kennedy[119] (D–Massachusetts, 1962–2009)"
"237","Bob Kerrey[120] (D–Nebraska, 1989–2001)"
"238","John Kerry[74] (D–Massachusetts, 1985–2013)"
"239","Herb Kohl[75] (D–Wisconsin, 1989–2013)"
"240","Frank Lautenberg[121] (D-New Jersey, 1982–2001, 2003–2013)"
"241","Barack Obama[65] (D–Illinois, 2005–2009)"
"242","Larry Pressler[122] (R–South Dakota, 1979–1997)"
"243","Chuck Robb[123] (D-Virginia, 1989–2001)"
"244","Former Majority Whip Alan K. Simpson[118] (R–Wyoming, 1979–1997)"
"245","Olympia Snowe[124] (R–Maine, 1995–2013)"
"246","Jim Webb (D-Virginia, 2007–2013)"
"247","Lowell P. Weicker, Jr.[125] (R–Connecticut, 1971–1989)"
"248","Minority Leader and Former Speaker Nancy Pelosi[74] (D–California)"
"249","Minority Whip Steny Hoyer[126] (D–Maryland)"
"250","Former Majority Whip Jim Clyburn[127] (D–South Carolina)"
"251","Ron Barber[128] (D–Arizona)"
"252","Karen Bass[74] (D–California)"
"253","Joyce Beatty[129] (D–Ohio)"
"254","Xavier Becerra[74] (D–California)"
"255","Ami Bera[130] (D–California)"
"256","Tim Bishop[131] (D–New York)"
"257","Earl Blumenauer[132] (D–Oregon)"
"258","Suzanne Bonamici[133] (D–Oregon)"
"259","Bob Brady[75] (D–Pennsylvania)"
"260","Bruce Braley[134] (D–Iowa)"
"261","Julia Brownley[135] (D–California)"
"262","Cheri Bustos[136] (D–Illinois)"
"263","G. K. Butterfield[137] (D–North Carolina)"
"264","Lois Capps[74] (D–California)"
"265","Mike Capuano[91] (D–Massachusetts)"
"266","Tony Cardenas[138] (D–California)"
"267","John Carney[139] (D–Delaware)"
"268","André Carson[75] (D–Indiana)"
"269","Matt Cartwright[140] (D–Pennsylvania)"
"270","Kathy Castor[75] (D–Florida)"
"271","Joaquín Castro[141] (D–Texas)"
"272","Judy Chu[74] (D–California)"
"273","David Cicilline[142] (D–Rhode Island)"
"274","Yvette Clarke[143] (D–New York)"
"275","Katherine Clark[144] (D–Massachusetts)"
"276","William Lacy Clay, Jr.[75] (D–Missouri)"
"277","Emanuel Cleaver[145] (D–Missouri)"
"278","Steve Cohen[146] (D–Tennessee)"
"279","Gerry Connolly[147] (D–Virginia)"
"280","John Conyers[74] (D–Michigan)"
"281","Jim Cooper[148] (D–Tennessee)"
"282","Jim Costa[149] (D–California)"
"283","Joe Courtney[150] (D–Connecticut)"
"284","Joseph Crowley[151] (D–New York)"
"285","Elijah Cummings[152] (D–Maryland)"
"286","Danny K. Davis[75] (D–Illinois)"
"287","Susan Davis[74] (D–California)"
"288","Peter DeFazio[75] (D–Oregon)"
"289","Diana DeGette[153] (D–Colorado)"
"290","John K. Delaney[154] (D–Maryland)"
"291","Rosa DeLauro[155] (D–Connecticut)"
"292","Suzan DelBene[156] (D–Washington)"
"293","Charlie Dent[157] (R–Pennsylvania)"
"294","Ted Deutch[158] (D–Florida)"
"295","John Dingell[159] (D–Michigan)"
"296","Lloyd Doggett[75] (D–Texas)"
"297","Michael F. Doyle[160] (D–Pennsylvania)"
"298","Tammy Duckworth[161] (D–Illinois)"
"299","Donna Edwards[162] (D–Maryland)"
"300","Keith Ellison[74] (D–Minnesota)"
"301","Eliot Engel[163] (D–New York)"
"302","Anna Eshoo[74] (D–California)"
"303","Elizabeth Esty[164] (D–Connecticut)"
"304","Sam Farr[74] (D–California)"
"305","Chaka Fattah[165] (D–Pennsylvania)"
"306","Bill Foster[166] (D–Illinois)"
"307","Lois Frankel[167] (D–Florida)"
"308","Marcia Fudge[168] (D–Ohio)"
"309","Tulsi Gabbard[169] (D–Hawaii)"
"310","John Garamendi[170] (D–California)"
"311","Joe Garcia[171] (D–Florida)"
"312","Alan Grayson[172] (D–Florida)"
"313","Al Green[75] (D–Texas)"
"314","Raúl Grijalva[74] (D–Arizona)"
"315","Michelle Lujan Grisham[173] (D–New Mexico)"
"316","Luis Gutiérrez[174] (D–Illinois)"
"317","Janice Hahn[74] (D–California)"
"318","Colleen Hanabusa[175] (D–Hawaii)"
"319","Richard L. Hanna[122] (R–New York)"
"320","Alcee Hastings[176] (D–Florida)"
"321","Dennis Heck[177] (D–Washington)"
"322","Brian Higgins[178] (D–New York)"
"323","Jim Himes[179] (D–Connecticut)"
"324","Rubén Hinojosa[137] (D–Texas)"
"325","Rush Holt[180] (D–New Jersey)"
"326","Mike Honda[74] (D–California)"
"327","Steven Horsford[181] (D–Nevada)"
"328","Jared Huffman[182] (D–California)"
"329","Steve Israel[183] (D–New York)"
"330","Sheila Jackson Lee[184] (D–Texas)"
"331","Hakeem Jeffries[185] (D–New York)"
"332","Eddie Bernice Johnson[75] (D–Texas)"
"333","Hank Johnson[75] (D–Georgia)"
"334","David Jolly[186] (R–Florida)"
"335","Marcy Kaptur[187] (D–Ohio)"
"336","William R. Keating[91] (D–Massachusetts)"
"337","Robin Kelly[188] (D–Illinois)"
"338","Joseph P. Kennedy III[189] (D–Massachusetts)"
"339","Dan Kildee[190] (D–Michigan)"
"340","Derek Kilmer[191] (D–Washington)"
"341","Ron Kind[192] (D–Wisconsin)"
"342","Ann Kirkpatrick[193] (D–Arizona)"
"343","Ann McLane Kuster[194] (D–New Hampshire)"
"344","James Langevin[195] (D–Rhode Island)"
"345","Rick Larsen[196] (D–Washington)"
"346","John B. Larson[197] (D–Connecticut)"
"347","Barbara Lee[198] (D–California)"
"348","Sander M. Levin[199] (D–Michigan)"
"349","John Lewis[200] (D–Georgia)"
"350","David Loebsack[75] (D–Iowa)"
"351","Zoe Lofgren[74] (D–California)"
"352","Alan Lowenthal[201] (D–California)"
"353","Nita Lowey[202] (D–New York)"
"354","Ben R. Luján[203] (D–New Mexico)"
"355","Stephen Lynch[91] (D–Massachusetts)"
"356","Dan Maffei[204] (D–New York)"
"357","Carolyn B. Maloney[151] (D–New York)"
"358","Sean Patrick Maloney[205] (D–New York)"
"359","Doris Matsui[74] (D–California)"
"360","Carolyn McCarthy[75] (D–New York)"
"361","Betty McCollum[206] (D–Minnesota)"
"362","Jim McDermott[74] (D–Washington)"
"363","Jim McGovern[91] (D–Massachusetts)"
"364","Gloria Negrete McLeod[201] (D–California)"
"365","Jerry McNerney[74] (D–California)"
"366","Gregory Meeks[207] (D–New York)"
"367","Grace Meng[185] (D–New York)"
"368","Mike Michaud[208] (D–Maine)"
"369","George Miller[74] (D–California)"
"370","Gwen Moore[75] (D–Wisconsin)"
"371","Jim Moran[209] (D–Virginia)"
"372","Patrick Murphy[210] (D–Florida)"
"373","Jerrold Nadler[74] (D–New York)"
"374","Grace Napolitano[74] (D–California)"
"375","Richard Neal[91] (D–Massachusetts)"
"376","Rick Nolan[211] (D–Minnesota)"
"377","Donald Norcross[212] (D-New Jersey)"
"378","Bill Owens[213] (D–New York)"
"379","Beto O'Rourke[214] (D–Texas)"
"380","Frank Pallone[180] (D–New Jersey)"
"381","Bill Pascrell[215] (D–New Jersey)"
"382","Ed Pastor[75] (D–Arizona)"
"383","Donald Payne, Jr.[216] (D–New Jersey)"
"384","Ed Perlmutter[217] (D–Colorado)"
"385","Gary Peters[218] (D–Michigan)"
"386","Scott Peters[219] (D–California)"
"387","Chellie Pingree[220] (D–Maine)"
"388","Mark Pocan[221] (D–Wisconsin)"
"389","Jared Polis[74] (D–Colorado)"
"390","David Price[222] (D–North Carolina)"
"391","Michael Quigley[74] (D–Illinois)"
"392","Charles B. Rangel[223] (D–New York)"
"393","Ileana Ros-Lehtinen[224] (R–Florida)"
"394","Lucille Roybal-Allard[74] (D–California)"
"395","Raul Ruiz[225] (D–California)"
"396","Dutch Ruppersberger[152] (D–Maryland)"
"397","Bobby Rush[226] (D–Illinois)"
"398","Tim Ryan[75] (D–Ohio)"
"399","Linda Sánchez[74] (D–California)"
"400","Loretta Sanchez[74] (D–California)"
"401","John Sarbanes[227] (D–Maryland)"
"402","Jan Schakowsky[74] (D–Illinois)"
"403","Adam Schiff[74] (D–California)"
"404","Brad Schneider[228] (D–Illinois)"
"405","Kurt Schrader[229] (D–Oregon)"
"406","Allyson Schwartz[230] (D–Pennsylvania)"
"407","Bobby Scott[75] (D–Virginia)"
"408","David Scott[231] (D–Georgia)"
"409","José Enrique Serrano[232] (D–New York)"
"410","Carol Shea-Porter[233] (D–New Hampshire)"
"411","Brad Sherman[74] (D–California)"
"412","Kyrsten Sinema[234] (D–Arizona)"
"413","Albio Sires[215] (D–New Jersey)"
"414","Louise Slaughter[235] (D–New York)"
"415","Adam Smith[236] (D–Washington)"
"416","Jackie Speier[74] (D–California)"
"417","Eric Swalwell[237] (D–California)"
"418","Mark Takano[238] (D–California)"
"419","Mike Thompson[74] (D–California)"
"420","John F. Tierney[91] (D–Massachusetts)"
"421","Dina Titus[239] (D–Nevada)"
"422","Paul Tonko[240] (D–New York)"
"423","Niki Tsongas[91] (D–Massachusetts)"
"424","Chris Van Hollen[74] (D–Maryland)"
"425","Juan Vargas[241] (D–California)"
"426","Marc Veasey[242] (D–Texas)"
"427","Nydia Velázquez[243] (D–New York)"
"428","Pete Visclosky[244] (D–Indiana)"
"429","Tim Walz[245] (D–Minnesota)"
"430","Debbie Wasserman Schultz[246] (D–Florida)"
"431","Maxine Waters[74] (D–California)"
"432","Henry Waxman[74] (D–California)"
"433","Peter Welch[247] (D–Vermont)"
"434","Frederica Wilson[248] (D–Florida)"
"435","John Yarmuth[249] (D–Kentucky)"
"436","Neil Abercrombie[253] (D–Hawaii)"
"437","Gary Ackerman[254] (D–New York)"
"438","John Adler[255] (D–New Jersey)"
"439","Daniel Akaka[106] (D–Hawaii)"
"440","Rob Andrews[180] (D–New Jersey)"
"441","Joe Baca[74] (D–California)"
"442","John Baldacci[256] (D–Maine)"
"443","Tammy Baldwin[74] (D–Wisconsin)"
"444","Bob Barr[257] (R–Georgia)"
"445","Tom Barrett[76] (D–Wisconsin)"
"446","Charles Bass[122] (R–New Hampshire)"
"447","Max Baucus[31] (D–Montana)"
"448","Chris Bell[258] (D–Texas)"
"449","Shelley Berkley[74] (D–Nevada)"
"450","Howard Berman[74] (D–California)"
"451","Barbara Boxer[74] (D–California)"
"452","Sherrod Brown[74] (D–Ohio)"
"453","John L. Burton[74] (D–California)"
"454","Tom Campbell[259] (R–California)"
"455","Maria Cantwell[77] (D–Washington)"
"456","Ben Cardin[74] (D–Maryland)"
"457","Dennis Cardoza[75] (D–California)"
"458","Russ Carnahan[260] (D–Missouri)"
"459","Tom Carper[78] (D–Delaware)"
"460","Julia Carson[261] (D–Indiana)"
"461","Ed Case[262] (D–Hawaii)"
"462","Former Minority Whip Dick Cheney[68] (R–Wyoming)"
"463","Hansen Clarke[75] (D–Michigan)"
"464","Ron Dellums[263] (D–California)"
"465","Norman D. Dicks[264] (D–Washington)"
"466","Joe Donnelly[81] (D–Indiana)"
"467","Dick Durbin[72] (D–Illinois)"
"468","Mervyn M. Dymally[265] (D–California)"
"469","Rahm Emanuel[76] (D–Illinois)"
"470","Bob Filner[74] (D–California)"
"471","James Florio[266] (D–New Jersey)"
"472","Harold Ford, Jr.[267] (D–Tennessee)"
"473","Barney Frank[91] (D–Massachusetts)"
"474","Former Minority Leader Richard Gephardt[268] (D–Missouri)"
"475","Gabrielle Giffords[269][270] (D–Arizona)"
"476","Wayne Gilchrest[271] (R–Maryland)"
"477","Kirsten Gillibrand[74] (D–New York)"
"478","Newt Gingrich[272] (R-Georgia)"
"479","Steve Gunderson[273] (R–Wisconsin)"
"480","Charlie Gonzalez[74] (D–Texas)"
"481","Debbie Halvorson[274] (D–Illinois)"
"482","Tom Harkin[74] (D–Iowa)"
"483","Martin Heinrich[74] (D–New Mexico)"
"484","Maurice Hinchey[275] (D–New York)"
"485","Mazie Hirono[84] (D–Hawaii)"
"486","Kathy Hochul[276] (D–New York)"
"487","Paul Hodes[277] (D–New Hampshire)"
"488","Joe Hoeffel[278] (D–Pennsylvania)"
"489","Michael Huffington[268] (R–California)"
"490","Daniel Inouye [106] (D–Hawaii)"
"491","Jay Inslee[279]"
"492","Jesse Jackson, Jr.[75] (D–Illinois)"
"493","Nancy Johnson[122] (R–Connecticut)"
"494","Tim Johnson[85] (D–South Dakota)"
"495","Stephanie Tubbs Jones[280] (D–Ohio)"
"496","Patrick J. Kennedy[281] (D–Rhode Island)"
"497","Mary Jo Kilroy[129] (D–Ohio)"
"498","Mark Kirk[88] (R–Illinois)"
"499","Jim Kolbe[282] (R–Arizona)"
"500","Dennis Kucinich[283] (D–Ohio)"
"501","Mike Lowry[284] (D–Washington)"
"502","Mary Bono Mack[122] (R–California)"
"503","Marjorie Margolies[285] (D–Pennsylvania)"
"504","Ed Markey[91] (D–Massachusetts)"
"505","George McGovern[286] (D–South Dakota)"
"506","Cynthia McKinney[287] (D–Georgia)"
"507","Michael McMahon[288] (D–New York)"
"508","Kendrick Meek[289] (D–Florida)"
"509","Bob Menendez[74] (D–New Jersey)"
"510","Barbara Mikulski[74] (D–Maryland)"
"511","Susan Molinari[122] (R–New York)"
"512","Connie Morella[122] (R–Maryland)"
"513","Chris Murphy[94] (D–Connecticut)"
"514","Patrick Murphy[290] (D–Pennsylvania)"
"515","Bill Nelson[95] (D–Florida)"
"516","John Olver[91] (D–Massachusetts)"
"517","Donald M. Payne[215] (D–New Jersey)"
"518","Rob Portman[96] (R–Ohio)"
"519","Larry Pressler[122] (R–South Dakota)"
"520","Deborah Pryce[122] (R–Ohio)"
"521","Jack Reed[97] (D–Rhode Island)"
"522","Harry Reid[71] (D–Nevada)"
"523","Silvestre Reyes[75] (D–Texas)"
"524","Laura Richardson[74] (D–California)"
"525","Tom Ridge[122] (R–Pennsylvania)"
"526","Steve Rothman[180] (D–New Jersey)"
"527","Bernie Sanders[99] (I–Vermont)"
"528","Mark Schauer[291] (D–Michigan)"
"529","Chuck Schumer[74] (D–New York)"
"530","Joe Schwarz[292] (R-Michigan)"
"531","Joe Sestak[293] (D–Pennsylvania)"
"532","James Shannon[294] (D–Massachusetts)"
"533","Chris Shays[295] (R–Connecticut)"
"534","Olympia Snowe[124] (R–Maine)"
"535","Hilda Solis[296] (D–California)"
"536","Debbie Stabenow[75] (D–Michigan)"
"537","Pete Stark[74] (D–California)"
"538","David Stockman[122] (R–Michigan)"
"539","Gerry Studds[297] (D–Massachusetts)"
"540","Betty Sutton[298] (D–Ohio)"
"541","Ellen Tauscher[299] (D–California)"
"542","Edolphus Towns[300] (D–New York)"
"543","Mark Udall[74] (D–Colorado)"
"544","Tom Udall[102] (D–New Mexico)"
"545","Mel Watt[301] (D–North Carolina)"
"546","Lowell P. Weicker, Jr.[125] (R–Connecticut)"
"547","Anthony Weiner[302] (D–New York)"
"548","Lynn Woolsey[74] (D–California)"
"549","David Wu[303] (D–Oregon)"
"550","Ron Wyden[74] (D–Oregon)"
"551","Neil Abercrombie[253] (D–Hawaii) (2011–present)"
"552","Jerry Brown[304] (D–California) (1975–1983, 2011–present)"
"553","Steve Bullock[305] (D–Montana) (2013–present)"
"554","Lincoln Chafee[109] (D–Rhode Island) (2011–present)"
"555","Andrew Cuomo[306] (D–New York) (2011–present)"
"556","Mark Dayton[113] (D–Minnesota) (2011–present)"
"557","Maggie Hassan[307] (D–New Hampshire) (2013–present)"
"558","John Hickenlooper[308] (D–Colorado) (2011–present)"
"559","Jay Inslee[279] (D–Washington) (2013–present)"
"560","John Kitzhaber[309] (D–Oregon) (1995–2003, 2011–present)"
"561","Dan Malloy[310] (D–Connecticut) (2011–present)"
"562","Jack Markell[311] (D–Delaware) (2009–present)"
"563","Terry McAuliffe[312] (D–Virginia) (2014–present)"
"564","Jay Nixon1[313] (D–Missouri) (2009–present)"
"565","Martin O'Malley[314] (D–Maryland) (2007–present)"
"566","Deval Patrick[315] (D–Massachusetts) (2007–present)"
"567","Pat Quinn[316] (D–Illinois) (2009–present)"
"568","Peter Shumlin[317] (D–Vermont) (2011–present)"
"569","1Governor Jay Nixon personally supports same-sex marriage, but has actively defended the ban on same-sex marriage in his state's constitution."
"570","John Baldacci[256] (D–Maine) (2003–2011)"
"571","Brendan Byrne[266] (D–New Jersey) (1974–1982)"
